!bt|BitTorrent Incomplete Download 
!qb|qBittorrent Partial Download 
!ut|uTorrent Incomplete Download 
#24|Printer data for 24 pin matrix printer (LocoScript)
#ib|Printer data (LocoScript)
#sc|Printer data (LocoScript)
#st|Standard mode printer definitions (LocoScript)
$#!|Cryptext
amv|AMV Video 
amx|After Effects Motion Exchange 
anc|Animation format (MorphInk)
ani|Animation (Presidio - many)
anm|Animation (Deluxe Paint Animator)
ann|Help Annotations (Windows 3.x)
ans|Ansi graphics (character animation) 
aos|Add-On Software (Nokia 9000) 
ap|Compressed Amiga archive created by WHAP 
apc|Printer driver (Lotus 1-2-3)
apd|Printer driver (Lotus 1-2-3)
ape|Music format (different players)
apf|Printer driver (Lotus 1-2-3)
api|Adobe Acrobat Plugin 
apk|Android Package 
apl|APL work space format 
apm|ArcPad 6 
app|Add-in application (Symphony) 
apr|Employee performance review (Employee Appraiser)
aps|MS Visual C++ 
apx|Appexpert database (Borland C++ 4.5)
arc|Compressed archive created by ARC (arc602.exe/pk361.exe) 
arf|Automatic Response 
arg|AutoCAD Profile Export 
ari|Compressed archive created by ARI
arj|Compressed archive created by ARJ (arj241.exe)
arl|AOL Organizer File
ark|Arc archive created by CP/M port of ARC archiver 
arr|Arrangement (Atari Cubase)
ars|Adobe After Effects Render
art|Graphics (scrapbook) (Art Import) 
arv|Arsiv File 
arx|Compressed archive created by ARX
asa|MS Visual InterDev 
asc|Ascii text 
ascx|Microsoft ASP.NET user control 
asd|Autosave (Word for Windows) 
asf|Datafile (STATGRAPHICS) 
ash|Assembly language header (TASM 3.0)
asi|Assembler include (Turbo C - Borland C++)
asl|Adobe Photoshop Layer 
asm|Assembly source code 
asmx|Microsoft .NET Web Service 
aso|Assembler object (object orientated) (Turbo Assembler)
asp|Microsoft Active Server Page 
aspx|Microsoft ASP.NET 
asr|Ms Automap Route 
asx|Microsoft Windows Media Active Stream Redirector 
asx|Microsoft Advanced Streaming Format
at2|Auto template (Aldus Persuasion 2.0)
atm|Adobe Type Manager data/info
atn|Adobe Photoshop Action 
atr|Lightscape Material Library
att|AT&T Group 4 Bitmap
aty|3D Topicscape (Exported association type)
au|Sound (audio) (SUN Microsystems)
au3|Autoit3 script 
aud|Audio 
aut|AutoIt Script 
aux|Auxillary references (TeX/LaTeX) 
ava|Publication (Avagio)
avb|Inoculan Anti-Virus virus infected 
avd|Avery Label Pro Data 
avi|Audio Video Interleaved animation (Video for Windows)
avr|Audio Visual Research 
avs|Animation 
avx|ArcView 
aw|Text (HP AdvanceWrite) 
awb|Lavasoft Ad-aware backup 
awd|AWD MS Fax 
awe|Adobe Acrobat Bookmark XML 
awk|Awk script/program
awm|Movie (Animation Works)
awp|Microsoft Fax key viewer
awr|Telsis Digital Audio 
aws|Data (STATGRAPHICS)
ax|DirectShow Filter
axd|Avery Label Pro Re-Index 
axe|Paradigm C++ Integrated Debugger 
axg|MS Autoroute Trip 
axl|ArcIMS XML Project 
axs|AMX Axcess control system format 
axt|ZenWorks snAPPshot ASCII Application Object template 
axx|axxess files used as backups of Inter-Tel databases
azw|Amazon Kindle eBook File
azz|AZZ Cardfile 
b|Batch list (APPLAUSE)
b&w|Black and white graphics (atari - mac)
b~k|backup 
b00|CD Image Segment 
b16|PCO Graphic 
b1n|Both mono and color binary screen image (1st Reader)
b1s|Booksmith
b30|Printer font (JLaser - Cordata) (Ventura Publisher)
b3d|3D Builder 
b5i|Blindwrite 5 Disk Image 
b5t|Blindwrite 5 Image Information 
b6i|Blindwrite 6 Disk Image 
b6t|Blindwrite 6 Image Information 
b8|Raw graphics (one byte per pixel) plane two (PicLab)
b_w|Black and white graphics (atari - mac)
bad|Bad (Oracle)
bag|PMMail Mail Index 
backup|Ad-Aware Reference 
bak|Backup 
bal|Music score (Ballade)
ban|Sierra Print Artist Banner
bar|Horizontal bar menu object (dBASE Application Generator)
bas|Basic source code 
bat|Batch (DOS)
bb|Database backup (Papyrus)
bba|Settler IV Archive 
bbl|Bibliographic reference (TeX/BibTeX)
bbm|Brush (Deluxe Paint)
bbs|Bulletin Board System announce or text info 
bc!|Bitcomet Incompleted Download 
bcf|ConfigSafe Snapshot index 
bch|Batch process object (dBASE Application Generator) 
bck|Backup
bcm|MS Works Communications 
bcn|Business Card Pro Design
bco|Outline font description (Bitstream)
bcp|Borland C++ makefile
bct|Business Card Designer template
bcw|Environment settings (Borland C++ 4.5)
bde|Borland Database Engine
bdf|Bitmap Distribution Format font (X11) 
bdm|AVCHD Index 
bdmv|Blu-ray information 
bdr|Border (MS Publisher)
bez|Outline font description (Bitstream)
bf2|Bradford 2 font
bff|Binary format
bfm|Font metrics (unix/Frame)
bfs|Tivoli Storage Manager 
bfx|Fax (BitFax)
bga|Bitmap graphics
bgt|Quicken 2002 Internet Common File
bgi|Borland Graphics Interface device driver
bgl|Flight Simulator scenery 
bgt|Quicken 2002 Internet Common File
bib|Bibliography (ASCII) 
bic|Civilization III Scenario
bid|BidMaker 2002 
bif|Binary Image Format b&w graphics (Image Capture board)
bik|BioCharter Profile backup 
bin|Binary 
bio|OS/2 BIOS
bip|Free-motion capture files for character studio biped
bit|Bitmap Image 
bk|Faxbook (JetFax)
bk!|Document backup (WordPerfect for Win)
bk1|Timed backup for document window 1 (WordPerfect for Win)
bk2|Timed backup for document window 2 (WordPerfect for Win)
bk3|Timed backup for document window 3 (WordPerfect for Win)
bk4|Timed backup for document window 4 (WordPerfect for Win)
bk5|Timed backup for document window 5 (WordPerfect for Win)
bk6|Timed backup for document window 6 (WordPerfect for Win)
bk7|Timed backup for document window 7 (WordPerfect for Win)
bk8|Timed backup for document window 8 (WordPerfect for Win)
bk9|Timed backup for document window 9 (WordPerfect for Win)
bkf|Microsoft Backup 
bkg|Background 
bkp|Backup (Write - TurboVidion DialogDesigner)
bkw|Mirror image of font set (FontEdit)
blb|DreamWorks Resource Archive
bld|Bloadable picture (BASIC)
blend|Blender 3D 
blf|Windows Registry Recovery 
blg|Binary Performance Log File
blk|Temporary (WordPerfect for Win) 
blob|Steam Archive 
blt|Saved AIM Buddy List 
bm|Bitmap graphics
bmf|Corel Image 
bmi|3ds max Executable
bmk|Help Bookmarks (Windows 3.x)
bmp|Bitmap graphics (PC Paintbrush - many)
bmx|Buzz music 
bnd|Typequick 
bndl|Bundle 
bnk|Adlib instrument bank 
bob|BobDown Downloading Program 
bom|MicroSim PCBoard Bill of Materials 
boo|Compressed ASCII archive created by BOO (msbooasm.arc)
book|Adobe FrameMaker Book 
bot|Linkbot 
box|Myriad Jukebox 
bpc|Chart (Business Plan Toolkit)
bpl|Delphi Library
bpt|Bitmap fills (CorelDRAW)
bqy|BrioQuery 
br|Script (Bridge)
brd|Eagle Layout 
brf|Braille ASCII 
brk|Fax (Brooktrout Fax-Mail)
brn|BornoSoft Bangla2000 (a Bengali word processor) File extension
